date,open,high,low,close,volume
2018-01-02,70.0071,72.5514,69.6749,71.9589,25267662
2018-01-03,71.8940,72.5850,71.5219,72.1278,44884754
2018-01-04,72.1850,73.2615,71.7049,72.5386,24847544
2018-01-05,72.5946,72.9140,71.8679,72.2369,23413849
2018-01-08,72.1721,72.6739,71.8663,72.3420,34749224
2018-01-09,72.1188,73.5566,71.6427,72.9620,36828844
2018-01-10,72.9783,73.4419,72.3704,73.1056,19545014
2018-01-11,73.1592,74.0938,72.5974,73.5737,20112313
2018-01-12,73.6177,74.7532,73.2771,74.0190,12241464
2018-01-15,73.8755,75.6011,73.2754,74.8702,33659657
2018-01-16,74.9563,75.6072,72.3995,72.9747,19960479
2018-01-17,73.0123,73.6617,71.8962,72.1889,23157080
2018-01-18,71.9919,72.5137,71.0417,71.5801,33034433
2018-01-19,71.6811,72.2188,71.0231,71.4177,46581959
2018-01-22,71.3253,71.7743,70.8705,71.4696,36865717
2018-01-23,71.5793,72.6477,70.8667,72.1224,15764702
2018-01-24,72.2115,72.7039,71.3945,72.0995,42884750
2018-01-25,72.0332,72.5364,70.6284,71.2416,30272766
2018-01-26,71.2601,72.3601,70.8873,72.0166,10319481
2018-01-29,72.0098,72.6434,71.1054,71.6820,47484087
2018-01-30,71.6949,72.9501,71.1454,72.4164,38870268
2018-01-31,72.3684,72.9797,71.4442,72.0740,31410739
2018-02-01,71.9357,73.1820,71.2776,72.6572,28787075
2018-02-02,72.5650,72.9196,71.8211,72.5237,41129241
2018-02-05,72.5527,73.1812,71.7090,72.3813,26745819
2018-02-06,72.3963,73.3408,71.8206,72.8842,49782767
2018-02-07,72.9169,73.6462,72.5238,73.1414,20534236
2018-02-08,73.1818,74.0094,72.5771,73.4657,12686804
2018-02-09,73.4448,74.9619,72.8841,74.3171,15351363
2018-02-12,74.4539,75.4397,73.7109,75.0514,29089461
2018-02-13,75.0360,75.8432,74.5635,75.2142,42429106
2018-02-14,75.0942,75.5907,73.6454,74.2314,28624639
2018-02-15,74.1798,75.0885,73.6115,74.5003,16113911
2018-02-16,74.3816,75.1249,73.5318,74.2467,33004183
2018-02-19,74.3956,74.8301,73.4488,73.7929,10051217
2018-02-20,73.7393,75.2111,73.2829,74.8415,19075531
2018-02-21,74.9015,75.2305,73.8883,74.5284,33667369
2018-02-22,74.3485,75.0982,73.9630,74.7761,35168406
2018-02-23,74.5463,75.3798,74.1571,75.0278,24104180
2018-02-26,75.1787,76.2941,74.6560,75.5740,20920657
2018-02-27,75.4563,75.8448,74.7388,75.5218,24053777
2018-02-28,75.4528,76.1176,75.1507,75.5905,26719226
2018-03-01,75.5657,76.2403,72.8539,73.3720,15996063
2018-03-02,73.4852,74.1590,72.2641,72.8246,29203739
2018-03-05,72.7407,73.8951,72.0377,73.1720,31324767
2018-03-06,73.2949,75.0387,72.8765,74.4427,28803481
2018-03-07,74.4785,75.2109,74.0962,74.7308,35038540
2018-03-08,74.7840,75.3195,73.5604,74.2660,41563275
2018-03-09,74.3294,75.0399,72.6961,73.0127,43974810
2018-03-12,73.0588,74.3932,72.3638,73.7543,35540696
2018-03-13,73.7091,74.0130,72.1822,72.8192,32826655
2018-03-14,72.6462,74.8403,72.3025,74.1233,34445931
2018-03-15,74.0550,74.5780,73.2458,73.9679,44138950
2018-03-16,73.9954,74.5573,72.5488,73.0600,42759139
2018-03-19,73.0182,74.3735,72.3869,74.0535,43374226
2018-03-20,74.1361,74.7501,73.5149,73.8293,21268615
2018-03-21,73.8049,74.4961,73.4933,73.8207,33612348
2018-03-22,74.0464,74.4546,72.7151,73.3775,47204531
2018-03-23,73.4877,74.0443,72.3490,72.6597,14125477
2018-03-26,72.4565,73.1138,71.6729,72.1137,41592649
2018-03-27,72.2449,72.7742,71.1442,71.5313,36857103
2018-03-28,71.6315,72.9209,71.2676,72.3731,26431085
2018-03-29,72.3089,73.3912,71.7279,72.6834,35055888
2018-03-30,72.5632,72.9666,71.8980,72.6462,13906071
2018-04-02,72.7996,73.4685,72.4646,72.7744,48697381
2018-04-03,72.7596,73.6937,72.1170,73.2397,24233061
2018-04-04,73.2318,73.8611,72.8254,73.1390,32993248
2018-04-05,72.8427,74.0639,72.5189,73.4621,17954620
2018-04-06,73.3706,74.1308,72.8933,73.4081,13587327
2018-04-09,73.5280,74.0233,72.3725,72.7773,27081835
2018-04-10,72.8509,73.2679,71.9730,72.3698,19284096
2018-04-11,72.3252,72.7750,71.6538,72.3344,38436376
