date,open,high,low,close,volume
2018-01-02,125.4069,127.9017,124.5393,126.9142,17772579
2018-01-03,127.1603,128.1942,126.3638,127.4891,23207093
2018-01-04,127.5546,130.1253,126.9844,129.2410,20336595
2018-01-05,129.5131,130.1181,127.9231,128.7922,15550775
2018-01-08,128.8963,130.3324,128.3664,129.5565,44414953
2018-01-09,129.5591,130.6451,128.1779,129.4703,35407861
2018-01-10,129.2534,130.4185,127.8969,128.5639,18362800
2018-01-11,128.5332,129.7331,127.4205,128.2738,23180371
2018-01-12,127.9869,130.0478,126.7900,129.2262,12846846
2018-01-15,129.0317,131.9669,127.8452,130.9980,43006474
2018-01-16,130.9934,132.2813,129.9042,131.7182,39044909
2018-01-17,131.4798,134.2826,130.2314,133.6578,19136158
2018-01-18,133.3775,134.8463,132.1585,134.0190,15019228
2018-01-19,133.8004,134.8832,133.2479,133.8354,13429013
2018-01-22,133.8311,135.1371,130.7472,131.4176,43291561
2018-01-23,131.6586,132.6016,127.6599,128.6570,11953127
2018-01-24,128.7966,130.7435,127.9661,129.8134,47901549
2018-01-25,129.9693,130.7096,128.4190,129.1745,44328778
2018-01-26,129.2443,131.2693,128.3562,130.1993,43045893
2018-01-29,130.4561,131.0864,128.5844,129.3990,45499563
2018-01-30,129.3148,131.5520,128.4746,130.4442,47138908
2018-01-31,130.6366,131.4336,129.5829,130.3341,35211476
2018-02-01,130.3145,130.8653,126.2891,127.5516,47764936
2018-02-02,127.6684,129.6401,126.9660,128.4827,21720749
2018-02-05,128.6787,129.9271,127.8760,129.1085,29971665
2018-02-06,128.8743,130.1505,127.5477,128.1897,16134915
2018-02-07,128.6027,130.7144,127.7506,129.7948,47653426
2018-02-08,129.7276,131.5849,129.1421,130.4049,21868215
2018-02-09,130.2952,131.5310,129.5348,130.5750,11401753
2018-02-12,130.6509,133.9937,129.9362,132.8945,34071821
2018-02-13,132.8598,133.5133,131.6777,132.7733,25350215
2018-02-14,133.1204,135.5815,131.8770,134.8653,43050191
2018-02-15,135.2965,136.1006,133.7662,134.8197,33837083
