date,open,high,low,close,volume
2018-01-02,152.0267,156.3310,151.3785,155.6397,40144831
2018-01-03,155.5071,156.2368,152.5783,154.0210,19566123
2018-01-04,154.0968,156.3510,152.9670,155.6427,16089269
2018-01-05,155.5298,156.2975,153.7511,155.2408,20180691
2018-01-08,155.2243,156.4182,154.0051,154.7427,10215299
2018-01-09,155.1246,157.1865,154.4506,156.2834,39080732
2018-01-10,156.1888,159.6551,155.2842,158.7953,30413442
2018-01-11,158.9492,161.6244,157.6663,160.1378,25985469
2018-01-12,159.9702,163.0374,159.0329,161.7167,41722253
2018-01-15,161.3945,165.1365,160.1585,163.9253,21490849
2018-01-16,163.8514,164.9954,159.5403,160.7255,47753711
2018-01-17,161.1959,162.7877,158.1354,159.2574,23622204
2018-01-18,159.5169,160.3884,156.6500,157.4111,10165023
2018-01-19,157.5998,158.7998,155.0129,155.6996,49391544
2018-01-22,155.5806,157.9093,154.1951,156.5317,38169656
2018-01-23,156.2224,158.0228,155.4861,157.2866,35843289
2018-01-24,157.5263,159.6675,156.2360,158.8336,13202939
2018-01-25,158.5692,159.5860,155.4359,156.3266,44328382
2018-01-26,156.4426,159.6225,155.6752,158.7686,38431387
2018-01-29,158.4891,159.6610,156.3065,157.2175,27633953
2018-01-30,157.3627,160.7572,156.2743,159.6028,24479860
2018-01-31,159.6601,161.1328,157.5395,159.0434,39773157
2018-02-01,159.6379,161.1857,158.4429,159.9757,44762090
2018-02-02,159.8505,161.1803,157.1799,157.8412,10917787
2018-02-05,157.7028,160.3763,156.6734,159.4235,30430547
2018-02-06,159.6748,162.7635,158.2470,161.5804,38986709
2018-02-07,161.6555,163.1231,159.9362,161.0734,23786475
2018-02-08,161.1640,162.9787,159.5995,161.6315,46600860
2018-02-09,161.9246,165.1553,160.8631,163.9833,21505658
2018-02-12,163.8634,164.8622,162.9120,163.9117,34623872
2018-02-13,164.0903,168.4055,162.7632,166.8584,18998305
2018-02-14,166.7289,168.3004,162.4029,163.9355,31956554
2018-02-15,163.8877,166.4512,162.8309,164.9103,11402083
2018-02-16,164.8685,166.4330,158.9217,160.4945,22370479
2018-02-19,160.5954,161.4177,158.7502,160.0464,31056235
2018-02-20,160.4153,163.5838,159.0488,162.4230,36159583
2018-02-21,162.6174,163.8528,161.0742,162.0348,38459706
2018-02-22,161.9256,163.3921,160.5977,162.1034,33194158
2018-02-23,161.8700,163.9319,161.1384,162.3352,36655843
2018-02-26,162.4698,164.2618,161.1577,163.1885,21642745
2018-02-27,163.5607,164.6930,161.7867,163.0470,14360408
2018-02-28,163.0651,163.7351,160.2299,161.2316,43559520
2018-03-01,161.1131,162.6742,155.0943,156.0920,29980255
2018-03-02,155.8272,157.1841,151.0690,152.5495,13805559
2018-03-05,152.6138,155.9641,151.8805,154.4706,46128876
2018-03-06,154.3352,158.9338,153.5082,157.5595,10204026
2018-03-07,157.4887,159.0133,156.3510,157.5954,49280123
2018-03-08,157.7674,159.1839,155.2577,156.3737,23221318
2018-03-09,156.2336,157.5707,155.0683,155.9776,36472178
2018-03-12,155.6915,157.8019,154.7863,156.6901,19707358
2018-03-13,156.4660,157.4540,154.0376,155.5732,20538197
2018-03-14,155.5167,161.3962,154.6390,160.0689,45435840
2018-03-15,160.1206,161.4130,157.0609,158.6298,22490858
2018-03-16,158.6672,159.6928,156.5360,157.3799,13979892
2018-03-19,157.5836,158.5593,156.2851,157.9130,44977629
2018-03-20,158.1284,159.4633,155.7210,156.5067,27796110
2018-03-21,156.7559,158.0002,155.1753,156.4044,47706745
2018-03-22,156.3010,157.1500,153.8281,155.3460,39839805
2018-03-23,155.1538,156.2814,151.6463,152.9177,26169213
2018-03-26,153.2800,153.9254,148.7155,149.8349,14631572
2018-03-27,149.5216,150.4037,146.0222,147.2100,44851365
2018-03-28,147.0458,150.4769,145.9435,149.0598,23053323
2018-03-29,149.3330,152.8844,148.1462,151.8343,23093946
2018-03-30,152.0421,155.4973,150.8690,154.0558,45061151
2018-04-02,154.1937,156.3942,152.7691,154.8538,37087237
2018-04-03,154.9287,156.0294,152.8315,153.9817,45736150
2018-04-04,154.0256,156.0546,152.8858,155.3428,21102010
2018-04-05,155.4067,156.8415,153.6449,155.1294,41307528
2018-04-06,155.0745,156.1191,153.3691,154.1303,37737479
2018-04-09,154.2019,155.3089,151.6060,152.3469,43216886
2018-04-10,152.3871,154.0158,151.7179,152.5933,46287601
2018-04-11,152.1163,152.9546,150.3724,151.3501,10943752
2018-04-12,151.1402,154.4788,149.7145,153.6939,16374857
2018-04-13,154.1428,155.2471,151.4407,152.4480,44453045
2018-04-16,152.3814,153.4457,150.1603,151.5368,43529947
2018-04-17,151.5504,152.3387,149.4856,150.6343,17765498
2018-04-18,150.4531,151.2633,148.0061,149.1324,45397848
2018-04-19,149.0163,150.2637,146.1478,146.8575,29205496
2018-04-20,146.6638,147.9426,144.9259,146.0122,35318718
2018-04-23,146.1411,147.1660,144.5195,145.9115,44973047
2018-04-24,145.8976,147.3435,144.8073,145.5935,38706426
2018-04-25,145.7044,148.4311,145.0152,147.0489,23534490
2018-04-26,147.8642,151.6746,146.5557,150.3949,49006315
2018-04-27,150.1480,151.2205,148.5795,150.0089,30960976
2018-04-30,150.0384,150.8134,147.0297,147.6849,17060439
2018-05-01,147.4366,148.8230,146.3210,147.8337,24644227
2018-05-02,148.0174,149.7799,147.0914,148.9128,14750985
2018-05-03,148.7496,150.0994,147.3337,147.9364,40792766
2018-05-04,148.1714,148.9923,145.9093,146.7234,24461565
2018-05-07,146.5979,147.3493,143.9966,145.4240,25266995
2018-05-08,145.5903,147.8103,144.5538,146.5107,31926622
2018-05-09,146.4870,147.6247,145.8509,146.7328,21345743
