date,open,high,low,close,volume
2018-01-02,40.0465,41.8781,39.8101,41.6203,22059686
2018-01-03,41.6326,42.0986,41.3196,41.7685,32656004
2018-01-04,41.7594,42.5755,41.4392,42.2159,35453455
2018-01-05,42.2010,42.6212,41.8854,42.0969,25640353
2018-01-08,42.1721,42.5098,41.1567,41.3871,35961164
2018-01-09,41.3903,41.5930,40.8759,41.2581,43142260
2018-01-10,41.3343,41.5013,40.7113,40.9627,42733591
2018-01-11,40.9167,41.7596,40.7035,41.4481,47018802
2018-01-12,41.4179,42.1549,41.1182,41.8108,12772706
2018-01-15,41.8062,43.0894,41.5536,42.9162,25170887
2018-01-16,42.9038,43.3116,41.5604,41.7743,40014705
2018-01-17,41.8645,42.0796,41.0683,41.3015,32858161
2018-01-18,41.2065,41.5049,40.2552,40.6460,10347317
2018-01-19,40.5952,40.7603,40.0982,40.2931,33586601
2018-01-22,40.3452,40.9441,40.1718,40.5911,20035466
2018-01-23,40.5624,41.2422,40.2283,40.9991,48915032
2018-01-24,41.0388,41.2606,40.7613,41.0308,34687764
2018-01-25,40.8830,41.1061,40.4447,40.6979,21453085
2018-01-26,40.6681,42.1916,40.4282,41.8506,17088920
2018-01-29,41.8518,42.2574,41.1659,41.3581,11141510
2018-01-30,41.3299,42.6541,40.9589,42.3555,37856471
2018-01-31,42.2970,42.5388,41.8489,42.0519,16141862
2018-02-01,42.0035,42.5996,41.7058,42.2564,17882511
2018-02-02,42.2037,42.6028,41.5918,41.9491,48219093
2018-02-05,42.0329,42.2410,40.9502,41.1980,16264023
2018-02-06,41.1727,41.6077,40.8807,41.3591,41422821
2018-02-07,41.4129,41.8102,41.0656,41.5295,18684871
2018-02-08,41.5947,41.8933,41.1851,41.7079,37381840
2018-02-09,41.7438,42.5807,41.3952,42.3640,22588663
2018-02-12,42.3542,42.5969,41.9883,42.3707,43551659
2018-02-13,42.3434,43.7301,42.1110,43.4064,12773386
2018-02-14,43.3901,43.8158,42.4352,42.7562,21502020
2018-02-15,42.6576,42.9764,42.2574,42.7075,19248447
2018-02-16,42.6729,43.0916,42.3148,42.8948,13518667
2018-02-19,42.7325,43.3910,42.4779,42.9668,23505523
2018-02-20,43.0071,43.6287,42.6069,43.2112,29782199
2018-02-21,43.2225,43.5746,42.3494,42.6017,33073651
2018-02-22,42.6159,42.8426,41.7955,42.1711,31029144
2018-02-23,42.1308,42.7742,41.8863,42.3686,41608490
2018-02-26,42.3348,43.2201,41.9558,43.0425,25279867
2018-02-27,42.9192,43.4714,42.4989,43.1761,35270915
2018-02-28,43.1690,43.3771,42.9060,43.1591,31219848
2018-03-01,43.1743,43.3665,41.6641,41.8997,29020060
2018-03-02,41.9202,42.2137,40.3468,40.7188,39270768
2018-03-05,40.6679,41.0400,40.3384,40.8693,45876535
2018-03-06,40.8881,41.5949,40.6297,41.2276,37625802
2018-03-07,41.1805,42.0651,40.9764,41.7927,48873031
2018-03-08,41.8797,42.1710,40.8330,41.1803,30398818
2018-03-09,41.1780,41.6948,40.9900,41.2955,45743470
2018-03-12,41.3714,42.1321,40.9619,41.7725,36499562
2018-03-13,41.7088,42.0021,40.7498,41.1138,42652084
2018-03-14,41.0618,42.1050,40.8225,41.8910,45138279
2018-03-15,41.8498,42.5850,41.6609,42.3783,33433418
2018-03-16,42.3714,42.6444,41.4676,41.8210,17516507
2018-03-19,41.8238,42.2071,41.6047,41.8493,14864103
2018-03-20,42.0221,42.2741,41.3068,41.5753,45668121
2018-03-21,41.5303,41.9958,41.1584,41.8202,10589032
2018-03-22,41.6708,42.3730,41.3498,42.0463,14531589
2018-03-23,41.9672,42.3647,41.6210,41.8603,21085148
2018-03-26,41.9619,42.1942,40.9290,41.1749,19768054
2018-03-27,41.2128,41.9398,40.9592,41.5594,17447423
2018-03-28,41.6182,42.1192,41.3581,41.9136,41689089
2018-03-29,41.9769,42.6458,41.6851,42.4305,29085496
2018-03-30,42.4625,42.7386,41.6044,41.9252,44525284
2018-04-02,41.8171,42.3871,41.4751,42.0576,17605754
2018-04-03,42.0904,42.5008,41.8427,42.2857,31902495
2018-04-04,42.2603,43.1273,41.9979,42.8066,35835724
2018-04-05,42.7333,42.9940,42.5206,42.7686,34427779
2018-04-06,42.8184,43.0147,42.2492,42.6411,41128276
2018-04-09,42.6953,43.0854,42.0047,42.2073,40153314
2018-04-10,42.1727,42.6378,41.8046,42.3023,31035496
2018-04-11,42.3577,42.6684,41.7491,42.1606,41373221
2018-04-12,42.1419,42.6073,41.7344,42.4348,45835351
2018-04-13,42.4903,42.8739,41.6659,42.0469,21266969
2018-04-16,42.0001,42.2483,41.2817,41.6755,11738816
2018-04-17,41.6908,41.9714,40.8825,41.2273,21582630
2018-04-18,41.1803,41.4783,40.5012,40.6924,13768468
2018-04-19,40.7603,41.1139,39.7432,39.9682,30864392
2018-04-20,39.9499,40.3895,39.6061,40.1919,41637507
2018-04-23,40.1849,41.0280,40.0146,40.7540,34533023
2018-04-24,40.8196,41.1076,39.9162,40.3031,42433689
2018-04-25,40.2536,40.4631,39.8800,40.1990,35093540
2018-04-26,40.3077,40.9496,40.0652,40.7795,43841657
2018-04-27,40.8253,41.0901,40.1301,40.3998,32855403
2018-04-30,40.5427,40.8913,39.6837,39.9187,34288277
2018-05-01,39.9069,40.4887,39.7287,40.2358,42457559
2018-05-02,40.2670,40.6095,39.9778,40.4070,46002006
2018-05-03,40.4945,40.8803,40.0713,40.3870,37960766
2018-05-04,40.3473,40.7144,39.9146,40.2111,19612187
2018-05-07,40.2186,40.6661,39.9703,40.2878,49787869
2018-05-08,40.2458,40.5534,39.9995,40.2103,42134352
2018-05-09,40.2199,40.4421,39.3643,39.7249,22012610
2018-05-10,39.6927,40.0244,39.2104,39.5855,35317859
