date,open,high,low,close,volume
2018-01-02,155.3722,161.8949,154.6349,160.7292,25006084
2018-01-03,160.9054,162.3421,158.1273,159.3928,14648230
2018-01-04,159.2950,161.5511,158.5438,160.1439,36551020
2018-01-05,160.3610,162.8451,158.8522,161.2706,43628167
2018-01-08,161.4870,162.5769,160.2384,161.2214,10771878
2018-01-09,161.0553,165.4280,160.1704,164.0298,46807461
2018-01-10,164.2082,167.1449,163.1773,165.8700,27046685
2018-01-11,165.8216,169.5324,164.7446,167.8613,17017331
2018-01-12,167.9561,168.8278,166.0266,167.4106,24713945
2018-01-15,167.6079,171.7263,166.4031,170.1867,18442776
2018-01-16,169.9743,171.5851,163.9410,164.6056,27336336
2018-01-17,164.6815,165.5084,161.9205,163.2072,36567135
2018-01-18,163.1507,164.5201,160.8090,162.3932,32299392
2018-01-19,162.9178,164.1548,159.3209,160.1823,31614435
2018-01-22,160.1424,162.9299,159.1803,161.4687,12776821
2018-01-23,161.0039,163.5135,159.8370,162.1146,37314691
2018-01-24,162.7163,166.1149,161.2373,164.6554,10011183
2018-01-25,164.5682,165.3494,161.2497,161.9024,38495801
2018-01-26,162.0468,165.8694,161.3061,164.9741,17633982
2018-01-29,165.2377,166.5900,161.3652,162.9783,42925382
2018-01-30,163.1254,166.6213,161.6394,165.2400,13379766
2018-01-31,165.0301,165.6954,163.7588,164.4393,11810723
2018-02-01,164.5442,166.7186,163.5430,165.3874,49105025
2018-02-02,165.0789,166.6566,162.2959,163.0403,36121683
2018-02-05,163.1728,164.6768,159.3640,160.7192,48573009
2018-02-06,160.9465,164.4381,159.3642,162.9993,40416490
2018-02-07,162.8774,164.0562,161.8888,162.6456,19842621
2018-02-08,162.1889,163.8245,160.9176,162.5940,19401128
2018-02-09,162.3882,165.5331,160.8547,164.6249,18086830
2018-02-12,164.3088,166.9894,162.7843,165.8411,35794094
2018-02-13,164.8525,167.4292,163.2758,166.4728,14017494
2018-02-14,166.2640,167.5205,164.2933,165.0774,19509768
2018-02-15,164.9504,167.0089,163.8440,165.6998,27922512
2018-02-16,165.6344,166.9965,163.0095,164.1063,24690710
2018-02-19,163.7318,164.9401,162.0932,163.5689,17219522
2018-02-20,163.4880,167.8477,162.1472,166.6914,26647170
2018-02-21,166.8167,167.7586,164.4059,165.3719,46418364
2018-02-22,165.7755,167.3790,163.8906,165.2935,24600828
2018-02-23,165.5687,167.7975,164.7224,166.3358,36721390
2018-02-26,166.4300,169.8467,165.1645,168.8102,33389768
2018-02-27,168.5758,169.4075,167.5723,168.7210,13229780
2018-02-28,168.5760,170.1141,166.8702,168.0128,10685047
2018-03-01,168.0609,169.6722,161.0222,162.2668,35564164
2018-03-02,162.5265,164.1075,158.3462,159.6718,13234824
2018-03-05,159.5311,160.9152,158.8326,160.1267,15437299
2018-03-06,160.1042,164.6786,158.8573,163.4918,21874048
2018-03-07,163.5245,165.3161,162.5500,164.2493,49676723
2018-03-08,164.3554,165.8591,162.0621,163.0281,21266370
2018-03-09,163.3515,164.1872,161.3497,162.5542,42063267
2018-03-12,162.6853,164.2192,161.6662,163.1377,22736364
2018-03-13,162.9620,164.0540,159.9119,161.2595,31439372
