date,open,high,low,close,volume
2018-01-02,267.4648,276.4459,265.9504,274.3947,35546345
2018-01-03,275.0744,277.2656,270.4310,272.2317,20566459
2018-01-04,272.6036,275.0083,270.9176,272.6767,29459032
2018-01-05,272.6966,275.2602,270.7772,272.5773,21391852
2018-01-08,272.6295,274.0182,270.5227,272.7115,16832188
2018-01-09,271.9846,275.1386,269.6551,273.2342,19813291
2018-01-10,273.2282,275.5623,271.4073,273.5831,21871801
2018-01-11,273.1625,277.8725,271.9405,275.3835,21375648
2018-01-12,275.5948,277.7026,273.7057,276.1472,21216128
2018-01-15,276.0548,281.5681,274.1473,279.8801,15043907
2018-01-16,280.6181,282.2278,269.8713,271.4496,33953823
2018-01-17,271.4291,272.9042,266.4285,268.5128,23140151
2018-01-18,268.0403,270.6483,262.8895,265.0974,26426324
2018-01-19,265.3319,266.4525,260.5192,262.8014,36663827
2018-01-22,263.3405,266.0623,261.8960,264.4379,17444389
2018-01-23,264.5347,267.8273,262.0546,266.3307,26641786
2018-01-24,266.6859,270.3741,264.1720,269.0586,29494549
2018-01-25,269.4012,272.0591,264.0353,265.6160,46729913
2018-01-26,265.7780,271.1589,263.2539,269.0138,21136818
2018-01-29,269.1354,270.4157,264.9338,266.2953,49906429
2018-01-30,265.9363,271.3689,263.9071,269.1780,35943435
2018-01-31,268.9359,270.1648,266.4121,267.6900,27078008
2018-02-01,267.4913,272.3065,265.5078,269.9192,48597525
2018-02-02,269.6875,271.7132,265.3016,267.8252,32216840
2018-02-05,268.5882,270.3006,266.2784,267.8549,21864325
2018-02-06,267.8560,272.7425,266.7402,270.6270,34005067
2018-02-07,270.4642,272.4111,269.0305,270.5920,33594191
2018-02-08,271.0803,273.7081,268.4594,269.9954,47943426
2018-02-09,269.5884,274.3054,266.9072,272.3588,38010046
2018-02-12,272.7794,275.4489,270.7864,273.4528,27010481
2018-02-13,273.2683,277.0111,270.7868,275.5016,33130778
2018-02-14,275.5286,277.3275,268.4776,270.7682,40757180
2018-02-15,270.3514,274.1247,268.7810,271.8306,47956733
2018-02-16,271.5046,273.0653,266.6291,269.1281,15585781
