date,open,high,low,close,volume
2018-01-02,126.7952,127.9118,125.0864,125.6900,16589118
2018-01-03,125.6589,127.2891,124.7826,126.0318,47655963
2018-01-04,126.0015,126.5286,123.8573,124.5815,32532366
2018-01-05,124.4477,125.4046,122.9465,123.7292,23433541
2018-01-08,123.8581,124.7985,122.5615,123.7930,41341505
2018-01-09,123.9759,125.0774,121.8238,122.9650,11928579
2018-01-10,123.2981,124.4138,120.2425,121.2982,40993819
2018-01-11,121.5998,122.6321,118.6512,119.5072,23673874
2018-01-12,119.6952,120.9320,118.5145,120.1630,30942295
2018-01-15,120.2378,121.4068,118.8109,119.4119,19530683
2018-01-16,119.7501,121.8333,118.9836,120.7533,12691505
2018-01-17,120.6065,121.2291,120.0522,120.6619,35713758
2018-01-18,120.5959,121.8490,119.9557,120.8488,11774611
2018-01-19,120.8834,122.7021,119.8976,121.7289,36415824
2018-01-22,121.6328,122.8896,121.0538,121.9218,29907202
2018-01-23,121.8035,122.3116,120.4020,121.4593,14053587
2018-01-24,121.3233,122.2877,119.8792,120.9919,26425454
2018-01-25,120.9581,121.6350,119.6834,120.5716,45345598
2018-01-26,120.6515,121.3297,119.1017,120.0363,39924031
2018-01-29,119.7779,120.8585,119.1011,120.2445,49826372
2018-01-30,120.2417,122.4042,119.2208,121.4881,39841079
2018-01-31,121.5347,123.2707,120.9417,122.2502,38165698
2018-02-01,122.2638,123.0417,120.6226,121.4343,40867075
2018-02-02,121.1304,123.2980,120.3151,122.3500,46631810
2018-02-05,122.2065,123.1204,121.1225,121.8592,19892609
2018-02-06,121.7155,122.6124,119.7415,120.7117,49871530
2018-02-07,120.7845,121.3845,118.6359,119.6880,12473564
2018-02-08,119.5630,120.2545,118.1582,118.9836,28409294
2018-02-09,118.9108,119.4505,117.6229,118.7833,41918450
2018-02-12,119.0304,120.1630,118.1037,119.6004,16175069
2018-02-13,119.4586,120.7022,118.6753,119.7867,41431090
2018-02-14,119.8620,120.7709,118.3140,118.8759,28605900
2018-02-15,118.6363,122.5651,117.7130,121.8345,47646386
2018-02-16,122.0580,123.1169,120.8198,121.3262,11386416
2018-02-19,121.2968,122.3208,120.4046,121.7940,37652076
