date,open,high,low,close,volume
2018-01-02,82.0857,83.6874,81.6072,83.2059,44789254
2018-01-03,83.2803,83.8032,82.1686,82.9131,11540469
2018-01-04,82.9390,83.6939,82.0473,82.7092,45719603
2018-01-05,82.8436,83.2024,81.9298,82.3086,44351567
2018-01-08,82.4306,83.0059,81.0961,81.7264,44624828
2018-01-09,81.9053,83.7685,81.1082,83.0292,16704042
2018-01-10,83.0847,83.6138,82.1893,82.6022,35131936
2018-01-11,82.5379,84.0176,82.1584,83.4079,23413547
2018-01-12,83.3305,85.0822,82.7065,84.5422,42804096
2018-01-15,84.6436,85.6614,83.8069,85.3053,39824169
2018-01-16,85.2687,85.7661,83.3204,84.0239,29720700
2018-01-17,83.8837,84.3827,82.2727,82.9080,20016505
2018-01-18,82.9274,83.7532,82.1924,82.9420,13294050
2018-01-19,82.8777,83.4565,81.3984,82.0359,29855230
2018-01-22,82.1875,83.1954,81.8414,82.5427,10441534
2018-01-23,82.6956,83.0316,82.0038,82.4192,18469859
2018-01-24,82.5706,83.0089,81.9347,82.6374,48417059
2018-01-25,82.8573,83.5947,81.0402,81.8317,46216724
2018-01-26,81.7944,84.2841,81.3419,83.4627,41908053
2018-01-29,83.4677,83.9085,82.3062,83.1225,48230568
2018-01-30,83.1425,84.7986,82.4845,84.0627,16177955
2018-01-31,84.2942,85.1221,83.0725,83.8599,48211034
2018-02-01,83.9457,84.6470,83.2935,84.1791,39843870
2018-02-02,84.0962,84.4543,83.1809,83.7587,40027473
2018-02-05,83.6316,84.2785,82.3680,83.1409,25985512
2018-02-06,83.2796,84.6775,82.5104,84.2289,38865557
2018-02-07,84.1313,85.0692,83.5894,84.2344,18883785
2018-02-08,83.9810,85.0866,83.6446,84.7019,39832265
2018-02-09,84.8111,85.7388,84.3688,85.3126,30552230
2018-02-12,85.3983,85.9685,84.6444,85.2857,34231734
2018-02-13,85.2958,86.6244,84.9251,85.9439,31873452
2018-02-14,85.7522,86.1459,84.0049,84.6704,47577547
2018-02-15,84.6257,85.9703,83.8255,85.3296,27158887
2018-02-16,85.1245,85.8351,83.7250,84.4352,37125128
2018-02-19,84.3545,84.8693,83.5526,84.1769,41439697
2018-02-20,84.1346,86.2646,83.4780,85.8519,15503656
2018-02-21,85.8458,86.2209,84.1635,84.6366,47147871
2018-02-22,84.6417,85.5701,84.1090,84.7592,26602210
2018-02-23,84.8758,86.5736,84.0555,86.1408,30024199
2018-02-26,86.0200,87.1545,85.2457,86.6433,33700263
2018-02-27,86.5799,87.4615,85.7240,86.9024,31485191
2018-02-28,86.7725,87.2610,85.6335,86.3640,38832834
2018-03-01,86.3429,87.0471,85.3300,85.7499,25252267
2018-03-02,85.5833,86.2872,84.2753,84.8151,26544782
2018-03-05,84.7637,85.7131,84.3252,85.0082,12315062
2018-03-06,84.9385,86.3610,84.2269,85.8998,46162514
2018-03-07,85.7705,87.1411,85.3092,86.5620,14140515
2018-03-08,86.5020,87.1885,84.9961,85.6635,34215459
2018-03-09,85.5878,86.1389,84.6914,85.0996,46830355
2018-03-12,85.0441,85.6779,84.3024,84.9600,29853829
2018-03-13,84.9141,85.6067,84.1609,84.7816,21231158
2018-03-14,84.7099,87.0933,84.2198,86.5954,21890551
2018-03-15,86.5157,86.9854,85.4168,86.2175,20923673
2018-03-16,86.0652,86.4168,85.2190,85.6916,19742574
2018-03-19,85.6986,86.5285,84.9307,86.1062,18545052
2018-03-20,86.1327,86.7063,84.7270,85.4134,19472625
2018-03-21,85.2148,85.8867,84.4573,84.9698,40601864
2018-03-22,85.0144,85.4755,83.7384,84.5667,27586546
2018-03-23,84.6851,85.0339,83.2965,84.0109,44865428
2018-03-26,84.1558,84.6564,82.8802,83.6140,20366661
2018-03-27,83.4730,84.2881,82.4240,83.1897,18681918
2018-03-28,83.2989,84.9322,82.6115,84.1286,10088808
2018-03-29,84.2153,85.0904,83.5634,84.6765,18970878
2018-03-30,84.5717,85.5305,84.2032,84.7646,21553910
2018-04-02,84.6540,85.4675,83.9050,85.0212,21432600
2018-04-03,84.9248,85.3388,83.8893,84.7341,26742229
2018-04-04,84.9153,85.3229,84.1580,84.5363,47543974
2018-04-05,84.4682,85.7227,84.0741,84.9284,20913824
2018-04-06,84.7853,85.5262,84.0567,85.0153,48852770
2018-04-09,85.0457,85.6188,83.4754,84.2539,24541173
2018-04-10,84.1728,84.8226,83.0165,83.5521,35683831
2018-04-11,83.5148,84.6887,82.8120,83.8576,28308453
2018-04-12,83.7587,85.5170,82.9497,84.7718,14125300
2018-04-13,84.8479,85.5725,83.4390,83.8252,23044535
2018-04-16,83.7482,84.4930,83.2246,83.5618,27895163
2018-04-17,83.5127,84.1973,82.3590,82.7883,35171005
2018-04-18,82.9048,83.4612,82.1791,82.5274,16152914
2018-04-19,82.3440,82.8938,81.2824,81.7897,28781489
2018-04-20,81.8710,82.4664,80.6363,81.1814,23652240
2018-04-23,80.9637,82.7278,80.6146,81.9789,24506726
2018-04-24,82.1836,82.9247,81.2625,81.8332,40713916
2018-04-25,81.6896,83.1571,81.0825,82.7012,36035458
2018-04-26,82.7409,83.9671,82.3719,83.1650,46237809
2018-04-27,83.2387,83.6637,82.4954,83.0068,47539470
2018-04-30,82.9933,83.3534,81.5765,82.3355,25837347
2018-05-01,82.3847,82.7149,81.8317,82.2882,39275504
2018-05-02,82.1775,83.0015,81.7600,82.2303,37333299
2018-05-03,82.1821,82.5918,80.8391,81.3345,45862466
2018-05-04,81.3295,81.9392,80.5311,81.0423,45394863
2018-05-07,80.7725,82.3281,80.2533,81.5471,24529380
2018-05-08,81.4441,81.9292,80.7961,81.2130,12664470
2018-05-09,81.0879,81.4790,79.9351,80.5391,44929877
2018-05-10,80.3396,81.0534,79.4298,79.7539,19444040
2018-05-11,79.6456,80.0776,78.6835,79.0649,14144234
2018-05-14,78.7774,79.3493,76.8128,77.5254,12606157
2018-05-15,77.4403,78.7563,76.8961,78.2134,36395283
2018-05-16,78.3165,78.9020,77.6493,78.5468,33040684
2018-05-17,78.4379,79.3861,77.7329,78.7688,13536588
2018-05-18,78.8417,79.4314,78.2653,78.6591,35714590
2018-05-21,78.7248,79.4809,77.9862,78.9323,35700223
2018-05-22,78.7659,79.0950,77.8111,78.3806,40040502
2018-05-23,78.3579,79.3841,77.9097,78.7933,37058883
2018-05-24,78.6441,79.2430,78.1054,78.9147,20910904
2018-05-25,78.8590,79.6649,78.1344,79.0978,22038197
2018-05-28,79.1982,80.3648,78.5668,79.6266,33238387
2018-05-29,79.6555,80.0702,78.3211,78.9824,17170742
2018-05-30,79.0297,79.6691,78.0033,78.3606,46422951
2018-05-31,78.4365,78.9296,77.9549,78.4242,27558087
2018-06-01,78.3764,78.8071,76.6776,77.1727,41472880
2018-06-04,77.2736,78.0751,76.6795,77.3236,37076208
2018-06-05,77.3670,77.9865,76.5803,77.3067,28150568
2018-06-06,77.2457,77.9288,75.2710,75.8965,45706698
2018-06-07,75.7773,77.2892,75.0489,76.9210,10303651
2018-06-08,76.7665,78.4448,76.2501,77.8086,11123169
2018-06-11,77.8034,78.3877,76.6823,77.4153,43672719
2018-06-12,77.4974,78.2822,76.9854,77.5447,21738822
2018-06-13,77.4101,78.6718,76.8359,78.1783,49796820
2018-06-14,78.1071,78.6148,76.6845,77.2534,48480822
2018-06-15,77.2914,77.6924,76.8541,77.3604,31151513
2018-06-18,77.2480,77.7521,76.2981,76.8859,48502097
2018-06-19,76.8544,78.3760,76.2739,77.9848,32044718
2018-06-20,78.0272,79.5050,77.2624,78.7319,43359439
2018-06-21,78.7756,79.1278,77.6809,78.2731,22015632
2018-06-22,78.3510,78.8454,77.4106,77.8894,47797975
2018-06-25,77.7743,78.3664,77.3083,78.0472,18098998
2018-06-26,78.0398,79.1156,77.3672,78.6857,33532318
2018-06-27,78.8041,80.5648,78.0716,80.0015,23954937
2018-06-28,79.9979,80.3754,78.2271,78.6016,44376413
2018-06-29,78.6631,79.2336,78.2277,78.7589,14485052
2018-07-02,78.7422,79.4886,77.7477,78.1551,44919430
2018-07-03,78.3228,78.6464,77.5303,78.0141,14214759
2018-07-04,77.8618,78.5937,77.3204,77.7456,13237098
2018-07-05,77.6817,78.3992,76.2286,76.9936,40362051
2018-07-06,77.0062,78.0224,76.4770,77.6525,41220525
2018-07-09,77.6851,78.1984,75.9273,76.5980,23745393
2018-07-10,76.6569,78.0846,76.1519,77.5709,29699179
2018-07-11,77.5717,78.0733,76.9402,77.6226,20344948
2018-07-12,77.7418,78.4541,77.0097,78.1317,32163760
2018-07-13,78.3211,79.0413,77.6616,78.1567,17064768
2018-07-16,78.1720,79.2447,77.6967,78.6804,21448347
2018-07-17,78.6216,79.1141,77.5763,78.3119,14842693
2018-07-18,78.2222,78.6874,77.5338,77.8961,48672509
2018-07-19,77.8470,78.4656,75.8883,76.6535,37297876
2018-07-20,76.6357,77.0322,75.8244,76.4642,38363363
2018-07-23,76.2939,76.9249,75.9127,76.3618,31005781
2018-07-24,76.3899,76.7538,75.3074,76.0240,47978447
2018-07-25,75.9388,76.7126,75.4441,76.0965,29972393
2018-07-26,75.9816,76.7077,75.2361,76.1109,20558869
2018-07-27,75.9435,76.3020,75.1982,75.6306,13662472
2018-07-30,75.5783,76.0566,74.4241,74.8524,19504125
2018-07-31,74.7442,75.1743,74.1698,74.7855,17195030
2018-08-01,74.8739,75.9310,74.1451,75.6045,21910447
2018-08-02,75.6572,76.1099,74.4655,74.9091,15963906
2018-08-03,75.0484,75.8348,74.5397,75.2375,25090932
2018-08-06,75.3730,76.0851,74.4603,75.1403,20958044
2018-08-07,75.2402,76.0021,74.9363,75.4613,33186460
2018-08-08,75.5937,76.5872,75.1616,75.9089,29463593
2018-08-09,75.8188,77.9640,75.1399,77.3198,27494546
2018-08-10,77.3548,77.7020,75.9363,76.5923,41841796
2018-08-13,76.6691,77.0844,76.1154,76.5852,35520000
2018-08-14,76.6362,77.3447,75.9485,77.0028,34720476
2018-08-15,77.1073,78.2899,76.3634,77.5482,28584064
2018-08-16,77.4615,78.7706,76.8604,78.2590,16827741
2018-08-17,78.3054,78.6765,77.7007,78.1261,11442238
2018-08-20,78.1483,78.5861,76.8031,77.1295,21253646
2018-08-21,77.1432,78.1863,76.7784,77.6808,15693460
2018-08-22,77.6513,78.9729,77.0041,78.5067,42505484
2018-08-23,78.5585,79.0258,77.0834,77.4485,13188893
2018-08-24,77.7202,79.0591,77.2007,78.4455,25243626
2018-08-27,78.5304,79.6230,78.1377,79.0362,39138236
2018-08-28,79.0134,79.6152,78.4923,79.2607,15240098
2018-08-29,79.1098,79.5388,78.5299,79.0350,32846123
2018-08-30,78.7955,80.3682,78.0958,79.7875,36714487
2018-08-31,80.0556,80.5679,79.0150,79.6425,30745301
2018-09-03,79.4556,80.7877,79.0423,80.3901,14718284
2018-09-04,80.3658,80.8155,77.8998,78.4931,30346226
2018-09-05,78.2926,78.9192,77.4826,77.8550,41382939
2018-09-06,78.0991,78.6036,77.0046,77.6567,26070238
2018-09-07,77.7965,78.4930,77.1424,77.6713,44450754
